task,positional,seed,cohort,ood,digits,d_model,n_layers,steps,params,lr,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
addition,abacus_rope,0,ood_5d,True,5,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.9675,0.99419,0.001,0.20418,0.973|0.996|1.000|1.000|0.999|1.000,1.0
addition,abacus_rope,0,ood_6d,True,6,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.338,0.85094,0.001,0.19165,0.728|0.603|0.900|0.961|0.944|0.881|1.000,1.486
addition,abacus_rope,0,ood_7d,True,7,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.0225,0.61906,0.001,0.18183,0.503|0.434|0.538|0.780|0.674|0.544|0.625|1.000,2.966
addition,abacus_learned,0,id_1d,False,1,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,abacus_learned,0,id_2d,False,2,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.013,0.3148,1.000|1.000|1.000,0.0
addition,abacus_learned,0,id_3d,False,3,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.004,0.26297,1.000|1.000|1.000|1.000,0.0
addition,abacus_learned,0,id_4d,False,4,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.0015,0.22979,1.000|1.000|1.000|1.000|1.000,0.0
addition,abacus_learned,0,ood_5d,True,5,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,0.023,0.52935,0.001,0.20418,0.328|0.468|0.345|0.738|0.487|1.000,2.695
addition,abacus_learned,0,ood_6d,True,6,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,0.0015,0.39489,0.001,0.19165,0.199|0.207|0.353|0.600|0.259|0.390|1.000,3.998
addition,abacus_learned,0,ood_7d,True,7,256,4,6000,3176717,0.0003,token,1e-05,False,False,cuda:0,2000,0.0,0.45011,0.001,0.18183,0.292|0.219|0.345|0.436|0.527|0.699|0.296|1.000,4.186
