task,positional,seed,train_digits,ood_digits,n_train,cohort,ood,digits,d_model,n_layers,steps,params,lr,abacus_max_k,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,2000,0.011,0.7219,0.001,0.21624,0.513|0.611|0.657|1.000|0.990|0.933|0.562|0.624|0.556,2.407
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,450,0.20889,0.84178,0.004444,0.24533,0.640|1.000|1.000|1.000|0.569,1.0
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,2000,0.008,0.74007,0.001,0.224,0.482|0.639|1.000|1.000|1.000|0.627|0.431,1.834
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,2000,0.007,0.71633,0.001,0.21133,0.541|0.596|0.540|1.000|1.000|1.000|0.562|0.629|0.579,2.571
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,2000,0.0,0.4325,0.001,0.2,0.928|0.722|0.440|0.462|0.860|0.151|0.090|0.117|0.164|0.314|0.511,6.242
carryless_square,rope_significance+sink,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166237,0.0003,8,token,0.38761,False,False,cuda:2,2000,0.0,0.30135,0.001,0.19642,0.866|0.563|0.239|0.231|0.514|0.154|0.126|0.217|0.115|0.232|0.208|0.196|0.258,9.082
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,train_seen,False,-1,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,2000,0.011,0.7219,0.001,0.21624,0.469|0.628|0.725|1.000|0.991|0.938|0.590|0.617|0.472,2.407
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,450,0.20889,0.84178,0.004444,0.24533,0.616|1.000|1.000|1.000|0.593,1.0
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,2000,0.008,0.74007,0.001,0.224,0.476|0.689|1.000|1.000|1.000|0.633|0.383,1.834
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,2000,0.007,0.71633,0.001,0.21133,0.508|0.640|0.632|1.000|1.000|1.000|0.596|0.585|0.486,2.571
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,2000,0.0,0.40623,0.001,0.2,0.951|0.787|0.610|0.131|0.390|0.150|0.093|0.099|0.127|0.244|0.887,6.532
carryless_square,rope_significance+loop4,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,2,8000,1586701,0.0003,8,token,0.38751,False,False,cuda:0,2000,0.0,0.32462,0.001,0.19642,0.915|0.503|0.363|0.221|0.165|0.188|0.102|0.209|0.114|0.286|0.182|0.202|0.770,8.78
