run_id,exp,regime,seed,device,n_layers,d_model,n_heads,params,budget_mode,budget,steps_completed,construct_seconds,train_seconds,lr,batch_size,first_train_loss,final_train_loss,diverged,flat_from_start,eval_set,T,ood_n,ood_t,n_eval,digit_acc,exact_acc,chance_digit,chance_exact
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t2,2,True,False,64,0.14286,0.0,0.22751,0.03125
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t3,3,False,False,64,0.18132,0.03125,0.31319,0.09375
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t3,3,True,False,64,0.09375,0.0,0.21875,0.03125
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t4,4,False,True,64,0.26744,0.0625,0.38372,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t4,4,True,True,64,0.15026,0.0,0.19689,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t6,6,False,True,64,0.23256,0.04688,0.39535,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t6,6,True,True,64,0.11475,0.01562,0.23497,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t8,8,False,True,64,0.13873,0.0,0.38728,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t8,8,True,True,64,0.08649,0.0,0.2,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t12,12,False,True,64,0.10465,0.03125,0.39535,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t12,12,True,True,64,0.08854,0.01562,0.20312,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t16,16,False,True,64,0.09302,0.0,0.38372,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t16,16,True,True,64,0.07216,0.0,0.21649,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t24,24,False,True,64,0.07558,0.0625,0.39535,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t24,24,True,True,64,0.13776,0.01562,0.22449,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t32,32,False,True,64,0.07514,0.01562,0.38728,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t32,32,True,True,64,0.08065,0.01562,0.20968,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t48,48,False,True,64,0.0814,0.0625,0.39535,0.140625
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t48,48,True,True,64,0.11518,0.01562,0.21466,0.0625
