variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
full,rope,0,id_3d,3,False,2,4,2,256,8000,1586701,450,0.08,0.6957,0.002222,0.17073,0.998|0.933|0.451|0.202|0.687|0.976,1.899
full,rope,0,id_3d,3,False,2,4,4,256,8000,1586701,450,0.66,0.92838,0.002222,0.17073,0.998|0.996|0.853|0.842|0.904|0.994,1.209
full,rope,0,id_3d,3,False,2,4,8,256,8000,1586701,450,0.45111,0.87611,0.002222,0.17073,0.996|0.991|0.789|0.700|0.833|0.973,1.296
full,rope,0,id_3d,3,False,2,4,16,256,8000,1586701,450,0.19556,0.76074,0.002222,0.17073,0.982|0.913|0.644|0.527|0.651|0.877,1.707
full,rope,0,id_3d,3,False,2,4,32,256,8000,1586701,450,0.02,0.56175,0.002222,0.17073,0.853|0.640|0.438|0.347|0.453|0.667,2.567
full,rope,0,id_4d,4,False,2,4,2,256,8000,1586701,2000,0.0035,0.61022,0.0005,0.15096,1.000|0.962|0.605|0.206|0.109|0.308|0.801|0.980,3.034
full,rope,0,id_4d,4,False,2,4,4,256,8000,1586701,2000,0.444,0.9086,0.0005,0.15096,1.000|1.000|0.998|0.862|0.567|0.884|0.983|0.997,1.275
full,rope,0,id_4d,4,False,2,4,8,256,8000,1586701,2000,0.2035,0.83383,0.0005,0.15096,0.999|0.997|0.969|0.646|0.417|0.770|0.928|0.980,1.618
full,rope,0,id_4d,4,False,2,4,16,256,8000,1586701,2000,0.055,0.72238,0.0005,0.15096,0.982|0.906|0.841|0.493|0.312|0.607|0.781|0.900,2.279
full,rope,0,id_4d,4,False,2,4,32,256,8000,1586701,2000,0.0065,0.54892,0.0005,0.15096,0.875|0.644|0.609|0.348|0.225|0.422|0.581|0.732,3.522
full,rope,0,id_5d,5,False,2,4,2,256,8000,1586701,2000,0.0,0.51419,0.0005,0.14501,1.000|0.972|0.615|0.201|0.117|0.102|0.117|0.326|0.819|0.988,4.74
full,rope,0,id_5d,5,False,2,4,4,256,8000,1586701,2000,0.035,0.77685,0.0005,0.14501,1.000|1.000|0.999|0.925|0.310|0.139|0.527|0.932|0.991|0.999,2.256
full,rope,0,id_5d,5,False,2,4,8,256,8000,1586701,2000,0.017,0.71234,0.0005,0.14501,1.000|0.995|0.975|0.727|0.227|0.133|0.383|0.811|0.951|0.991,2.856
full,rope,0,id_5d,5,False,2,4,16,256,8000,1586701,2000,0.0015,0.60965,0.0005,0.14501,0.991|0.876|0.837|0.548|0.188|0.122|0.291|0.618|0.777|0.925,3.815
full,rope,0,id_5d,5,False,2,4,32,256,8000,1586701,2000,0.0,0.46977,0.0005,0.14501,0.893|0.634|0.614|0.409|0.152|0.126|0.199|0.420|0.557|0.764,5.174
full,rope,0,ood_6d,6,True,2,4,2,256,8000,1586701,2000,0.0,0.33275,0.001,0.13803,0.950|0.264|0.293|0.168|0.108|0.120|0.111|0.102|0.110|0.290|0.693|0.923,7.851
